SMG1016M-[TRACES]> 
SMG1016M-[TRACES]> 
SMG1016M-[TRACES]> memdump
  13:45:40.155043  [INFO]  Alloc counter = [122052468] b; [119191] Kb; [116] Mb 
  13:45:40.155188  [INFO]  Free counter = [47815203] b; [46694] Kb; [45] Mb
  13:45:40.155295  [INFO]  Current allocated = [74220065] b; [72480] Kb; [70] Mb
  13:45:40.155401  [INFO]  Max  Index = 57806
  13:45:40.155502  [INFO]  Free Index = 57807
  13:45:40.155604  [INFO]  Circle count = 0
  13:45:40.155705  [INFO]  ReArrange Index = 0
  13:45:40.155807  [INFO]  Max alloc size = 16973656
 13:37:20.514034  <0000>  (4)   [1bbd1b0] [1bbd5b0]  From: core/consol.c:6348 [6714]
 13:37:20.514238  <0001>  (4)   [1bbd638] [1bbda38]  From: core/consol.c:6359 [6714]
 13:37:20.514451  <0002>  (24)  [1bbdac0] [1bbdec0]  From: core/proc.c:260 [6714]
 13:37:20.514493  <0003>  (24)  [1bbdf60] [1bbe360]  From: core/proc.c:266 [6714]
 13:37:20.514548  <0004>  (24)  [1bbe400] [1bbe800]  From: core/proc.c:284 [6714]
 13:37:20.514589  <0005>  (16384)       [1bbe8a0] [1bbeca0]  From: core/proc.c:290 [6714]
 13:37:20.514814  <0006>  (24)  [1bc2d28] [1bc3128]  From: core/hardware.c:430 [6714]
 13:37:20.514867  <0007>  (24)  [1bc31c8] [1bc35c8]  From: core/hardware.c:430 [6714]
 13:37:20.514917  <0008>  (24)  [1bc3668] [1bc3a68]  From: core/hardware.c:430 [6714]
 13:37:20.514972  <0009>  (24)  [1bc3b08] [1bc3f08]  From: core/hardware.c:430 [6714]
 13:37:20.515024  <0010>  (24)  [1bc3fa8] [1bc43a8]  From: core/hardware.c:430 [6714]
 13:37:20.515071  <0011>  (24)  [1bc4448] [1bc4848]  From: core/hardware.c:430 [6714]
 13:37:20.515118  <0012>  (24)  [1bc48e8] [1bc4ce8]  From: core/hardware.c:430 [6714]
 13:37:20.515171  <0013>  (24)  [1bc4d88] [1bc5188]  From: core/hardware.c:430 [6714]
